"months_loan_duration","credit_status","purpose","amount","employment_length","personal_status","residence_history","age","housing","existing_credits"
12,"critical","car (new)",691,"> 7 yrs","single male",3,35,"own",2
15,"critical","car (new)",5045,"> 7 yrs","female",4,59,"own",1
18,"critical","furniture",2124,"1 - 4 yrs","female",4,24,"rent",2
12,"repaid","radio/tv",2214,"1 - 4 yrs","single male",3,24,"own",1
21,"critical","car (new)",12680,"> 7 yrs","single male",4,30,"for free",1
24,"critical","car (new)",2463,"4 - 7 yrs","married male",3,27,"own",2
12,"repaid","radio/tv",1155,"> 7 yrs","married male",3,40,"own",2
30,"repaid","furniture",3108,"0 - 1 yrs","divorced male",4,31,"own",1
10,"repaid","car (used)",2901,"0 - 1 yrs","female",4,31,"rent",1
12,"critical","furniture",3617,"> 7 yrs","single male",4,28,"rent",3
12,"critical","radio/tv",1655,"> 7 yrs","single male",4,63,"own",2
24,"repaid","car (used)",2812,"> 7 yrs","female",4,26,"rent",1
36,"critical","education",8065,"1 - 4 yrs","female",2,25,"own",2
21,"critical","car (used)",3275,"> 7 yrs","single male",4,36,"own",1
24,"critical","radio/tv",2223,"> 7 yrs","single male",4,52,"own",2
12,"critical","car (new)",1480,"unemployed","single male",4,66,"for free",3
24,"repaid","car (new)",1371,"1 - 4 yrs","female",4,25,"rent",1
36,"critical","car (new)",3535,"4 - 7 yrs","single male",4,37,"own",2
18,"repaid","radio/tv",3509,"4 - 7 yrs","female",1,25,"own",1
36,"critical","car (used)",5711,"> 7 yrs","single male",2,38,"own",2
18,"repaid","repairs",3872,"unemployed","female",4,67,"own",1
39,"critical","radio/tv",4933,"4 - 7 yrs","single male",2,25,"own",2
24,"critical","car (new)",1940,"> 7 yrs","single male",4,60,"own",1
12,"fully repaid","retraining",1410,"1 - 4 yrs","single male",2,31,"own",1
12,"repaid","car (new)",836,"0 - 1 yrs","female",2,23,"own",1
20,"repaid","car (used)",6468,"unemployed","divorced male",4,60,"own",1
18,"repaid","business",1941,"1 - 4 yrs","single male",2,35,"own",1
22,"repaid","radio/tv",2675,"> 7 yrs","single male",4,40,"own",1
48,"critical","car (used)",2751,"> 7 yrs","single male",3,38,"own",2
48,"delayed","education",6224,"> 7 yrs","single male",4,50,"for free",1
40,"critical","education",5998,"1 - 4 yrs","single male",3,27,"own",1
21,"repaid","business",1188,"> 7 yrs","female",4,39,"own",1
24,"repaid","car (used)",6313,"> 7 yrs","single male",4,41,"own",1
6,"critical","furniture",1221,"1 - 4 yrs","married male",2,27,"own",2
24,"repaid","furniture",2892,"> 7 yrs","divorced male",4,51,"for free",1
24,"repaid","furniture",3062,"> 7 yrs","single male",3,32,"rent",1
9,"repaid","furniture",2301,"0 - 1 yrs","female",4,22,"rent",1
18,"repaid","car (used)",7511,"> 7 yrs","single male",4,51,"for free",1
12,"critical","furniture",1258,"0 - 1 yrs","female",4,22,"rent",2
24,"delayed","car (new)",717,"> 7 yrs","married male",4,54,"own",2
9,"repaid","car (new)",1549,"0 - 1 yrs","single male",2,35,"own",1
24,"critical","education",1597,"> 7 yrs","single male",4,54,"for free",2
18,"critical","radio/tv",1795,"> 7 yrs","female",4,48,"rent",2
20,"critical","furniture",4272,"> 7 yrs","female",4,24,"own",2
12,"critical","radio/tv",976,"> 7 yrs","single male",4,35,"own",2
12,"repaid","car (new)",7472,"unemployed","female",2,24,"rent",1
36,"repaid","car (new)",9271,"4 - 7 yrs","single male",1,24,"own",1
6,"repaid","radio/tv",590,"0 - 1 yrs","married male",3,26,"own",1
12,"critical","radio/tv",930,"> 7 yrs","single male",4,65,"own",4
42,"fully repaid","car (used)",9283,"unemployed","single male",2,55,"for free",1
15,"fully repaid","car (new)",1778,"0 - 1 yrs","female",1,26,"rent",2
8,"repaid","business",907,"0 - 1 yrs","married male",2,26,"own",1
6,"repaid","radio/tv",484,"4 - 7 yrs","married male",3,28,"own",1
36,"critical","car (used)",9629,"4 - 7 yrs","single male",4,24,"own",2
48,"repaid","domestic appliances",3051,"1 - 4 yrs","single male",4,54,"own",1
48,"repaid","car (new)",3931,"4 - 7 yrs","single male",4,46,"for free",1
36,"delayed","car (new)",7432,"1 - 4 yrs","female",2,54,"rent",1
6,"repaid","domestic appliances",1338,"1 - 4 yrs","divorced male",4,62,"own",1
6,"critical","radio/tv",1554,"4 - 7 yrs","female",2,24,"rent",2
36,"repaid","others",15857,"unemployed","divorced male",3,43,"own",1
18,"repaid","radio/tv",1345,"1 - 4 yrs","married male",3,26,"own",1
12,"repaid","car (new)",1101,"1 - 4 yrs","married male",2,27,"own",2
12,"repaid","radio/tv",3016,"1 - 4 yrs","married male",1,24,"own",1
36,"repaid","furniture",2712,"> 7 yrs","single male",2,41,"own",1
8,"critical","car (new)",731,"> 7 yrs","single male",4,47,"own",2
18,"critical","furniture",3780,"0 - 1 yrs","divorced male",2,35,"own",2
21,"critical","car (new)",1602,"> 7 yrs","married male",3,30,"own",2
18,"critical","car (new)",3966,"> 7 yrs","female",4,33,"rent",3
18,"fully repaid","business",4165,"1 - 4 yrs","single male",2,36,"own",2
36,"repaid","car (used)",8335,"> 7 yrs","single male",4,47,"for free",1
48,"delayed","business",6681,"1 - 4 yrs","single male",4,38,"for free",1
24,"delayed","business",2375,"1 - 4 yrs","single male",2,44,"own",2
18,"repaid","car (new)",1216,"0 - 1 yrs","female",3,23,"rent",1
45,"fully repaid","business",11816,"> 7 yrs","single male",4,29,"rent",2
24,"repaid","radio/tv",5084,"> 7 yrs","female",4,42,"own",1
15,"repaid","radio/tv",2327,"0 - 1 yrs","female",3,25,"own",1
12,"fully repaid","car (new)",1082,"1 - 4 yrs","single male",4,48,"own",2
12,"repaid","radio/tv",886,"1 - 4 yrs","female",2,21,"own",1
4,"repaid","furniture",601,"0 - 1 yrs","female",3,23,"rent",1
24,"critical","car (used)",2957,"> 7 yrs","single male",4,63,"own",2
24,"critical","radio/tv",2611,"> 7 yrs","married male",3,46,"own",2
36,"repaid","furniture",5179,"4 - 7 yrs","single male",2,29,"own",1
21,"delayed","car (used)",2993,"1 - 4 yrs","single male",2,28,"own",2
18,"repaid","repairs",1943,"0 - 1 yrs","female",4,23,"own",1
24,"fully repaid","business",1559,"4 - 7 yrs","single male",4,50,"own",1
18,"repaid","furniture",3422,"> 7 yrs","single male",4,47,"own",3
21,"repaid","furniture",3976,"4 - 7 yrs","single male",3,35,"own",1
18,"repaid","car (new)",6761,"1 - 4 yrs","single male",4,68,"rent",2
24,"repaid","car (new)",1249,"0 - 1 yrs","married male",2,28,"own",1
9,"repaid","radio/tv",1364,"4 - 7 yrs","single male",4,59,"own",1
12,"repaid","radio/tv",709,"> 7 yrs","single male",4,57,"own",1
20,"critical","car (new)",2235,"1 - 4 yrs","married male",2,33,"rent",2
24,"critical","car (used)",4042,"4 - 7 yrs","single male",4,43,"own",2
15,"critical","radio/tv",1471,"1 - 4 yrs","single male",4,35,"for free",2
18,"fully repaid","car (new)",1442,"4 - 7 yrs","single male",4,32,"for free",2
36,"delayed","car (new)",10875,"> 7 yrs","single male",2,45,"own",2
24,"repaid","car (new)",1474,"0 - 1 yrs","married male",3,33,"own",1
10,"repaid","retraining",894,"4 - 7 yrs","female",3,40,"own",1
15,"critical","furniture",3343,"1 - 4 yrs","single male",2,28,"for free",1
15,"repaid","car (new)",3959,"1 - 4 yrs","female",2,29,"own",1
9,"repaid","car (new)",3577,"1 - 4 yrs","single male",2,26,"rent",1
24,"critical","car (used)",5804,"1 - 4 yrs","single male",2,27,"own",2
18,"delayed","business",2169,"1 - 4 yrs","married male",2,28,"own",1
24,"repaid","radio/tv",2439,"0 - 1 yrs","female",4,35,"own",1
27,"critical","furniture",4526,"0 - 1 yrs","single male",2,32,"own",2
10,"repaid","furniture",2210,"1 - 4 yrs","single male",2,25,"rent",1
15,"repaid","furniture",2221,"1 - 4 yrs","female",4,20,"rent",1
18,"repaid","radio/tv",2389,"0 - 1 yrs","female",1,27,"own",1
12,"critical","furniture",3331,"> 7 yrs","single male",4,42,"own",1
36,"repaid","business",7409,"> 7 yrs","single male",2,37,"own",2
12,"repaid","furniture",652,"> 7 yrs","female",4,24,"rent",1
36,"delayed","furniture",7678,"4 - 7 yrs","female",4,40,"own",2
6,"critical","car (new)",1343,"> 7 yrs","single male",4,46,"own",2
24,"critical","business",1382,"4 - 7 yrs","single male",1,26,"own",2
15,"repaid","domestic appliances",874,"0 - 1 yrs","female",1,24,"own",1
12,"repaid","furniture",3590,"1 - 4 yrs","single male",2,29,"own",1
11,"critical","car (new)",1322,"1 - 4 yrs","female",4,40,"own",2
18,"fully repaid","radio/tv",1940,"0 - 1 yrs","single male",4,36,"for free",1
36,"repaid","radio/tv",3595,"> 7 yrs","single male",2,28,"own",1
9,"repaid","car (new)",1422,"0 - 1 yrs","single male",2,27,"for free",1
30,"critical","radio/tv",6742,"4 - 7 yrs","single male",3,36,"own",2
24,"repaid","car (used)",7814,"4 - 7 yrs","single male",3,38,"own",1
24,"repaid","car (used)",9277,"1 - 4 yrs","divorced male",4,48,"for free",1
30,"critical","car (new)",2181,"> 7 yrs","single male",4,36,"own",2
18,"critical","radio/tv",1098,"unemployed","female",4,65,"own",2
24,"repaid","furniture",4057,"4 - 7 yrs","divorced male",3,43,"own",1
12,"repaid","education",795,"0 - 1 yrs","female",4,53,"own",1
24,"critical","business",2825,"4 - 7 yrs","single male",3,34,"own",2
48,"repaid","business",15672,"1 - 4 yrs","single male",2,23,"own",1
36,"critical","car (new)",6614,"> 7 yrs","single male",4,34,"own",2
28,"fully repaid","car (used)",7824,"0 - 1 yrs","single male",4,40,"rent",2
27,"critical","business",2442,"> 7 yrs","single male",4,43,"own",4
15,"critical","radio/tv",1829,"> 7 yrs","single male",4,46,"own",2
12,"critical","car (new)",2171,"1 - 4 yrs","single male",4,38,"own",2
36,"critical","car (used)",5800,"1 - 4 yrs","single male",4,34,"own",2
18,"critical","radio/tv",1169,"1 - 4 yrs","single male",3,29,"own",2
36,"delayed","car (used)",8947,"4 - 7 yrs","single male",2,31,"own",1
21,"repaid","radio/tv",2606,"0 - 1 yrs","female",4,28,"rent",1
12,"critical","furniture",1592,"4 - 7 yrs","female",2,35,"own",1
15,"repaid","furniture",2186,"4 - 7 yrs","female",4,33,"rent",1
18,"repaid","furniture",4153,"1 - 4 yrs","single male",3,42,"own",1
16,"critical","car (new)",2625,"> 7 yrs","single male",4,43,"rent",1
20,"critical","car (new)",3485,"0 - 1 yrs","divorced male",4,44,"own",2
36,"critical","car (used)",10477,"> 7 yrs","single male",4,42,"for free",2
15,"repaid","radio/tv",1386,"1 - 4 yrs","married male",2,40,"rent",1
24,"repaid","radio/tv",1278,"> 7 yrs","single male",1,36,"own",1
12,"repaid","radio/tv",1107,"1 - 4 yrs","single male",2,20,"rent",1
21,"repaid","car (new)",3763,"4 - 7 yrs","single male",2,24,"own",1
36,"repaid","education",3711,"1 - 4 yrs","married male",2,27,"own",1
15,"delayed","car (used)",3594,"0 - 1 yrs","female",2,46,"own",2
9,"repaid","car (new)",3195,"1 - 4 yrs","female",2,33,"own",1
36,"delayed","radio/tv",4454,"1 - 4 yrs","female",4,34,"own",2
24,"critical","furniture",4736,"0 - 1 yrs","female",4,25,"own",1
30,"repaid","radio/tv",2991,"> 7 yrs","female",4,25,"own",1
11,"repaid","business",2142,"> 7 yrs","divorced male",2,28,"own",1
24,"fully repaid","business",3161,"1 - 4 yrs","single male",2,31,"rent",1
48,"fully repaid","others",18424,"1 - 4 yrs","female",2,32,"own",1
10,"repaid","car (used)",2848,"1 - 4 yrs","single male",2,32,"own",1
6,"repaid","car (new)",14896,"> 7 yrs","single male",4,68,"own",1
24,"repaid","furniture",2359,"unemployed","divorced male",1,33,"own",1
24,"repaid","furniture",3345,"> 7 yrs","single male",2,39,"rent",1
18,"critical","furniture",1817,"1 - 4 yrs","female",2,28,"own",2
48,"delayed","radio/tv",12749,"4 - 7 yrs","single male",1,37,"own",1
9,"repaid","radio/tv",1366,"0 - 1 yrs","female",4,22,"rent",1
12,"repaid","car (new)",2002,"4 - 7 yrs","single male",4,30,"rent",1
24,"fully repaid","furniture",6872,"0 - 1 yrs","divorced male",1,55,"own",1
12,"fully repaid","car (new)",697,"0 - 1 yrs","single male",2,46,"own",2
18,"critical","furniture",1049,"0 - 1 yrs","female",4,21,"rent",1
48,"repaid","car (used)",10297,"4 - 7 yrs","single male",4,39,"for free",3
30,"repaid","radio/tv",1867,"> 7 yrs","single male",4,58,"own",1
12,"delayed","car (new)",1344,"1 - 4 yrs","single male",2,43,"own",2
24,"repaid","furniture",1747,"0 - 1 yrs","single male",1,24,"own",1
9,"repaid","radio/tv",1670,"0 - 1 yrs","female",2,22,"own",1
9,"critical","car (new)",1224,"1 - 4 yrs","single male",1,30,"own",2
12,"critical","radio/tv",522,"> 7 yrs","single male",4,42,"own",2
12,"repaid","radio/tv",1498,"1 - 4 yrs","female",1,23,"own",1
30,"delayed","radio/tv",1919,"0 - 1 yrs","single male",3,30,"own",2
9,"repaid","radio/tv",745,"1 - 4 yrs","female",2,28,"own",1
6,"repaid","radio/tv",2063,"0 - 1 yrs","married male",3,30,"rent",1
60,"repaid","education",6288,"1 - 4 yrs","single male",4,42,"for free",1
24,"critical","car (used)",6842,"1 - 4 yrs","single male",4,46,"own",2
12,"repaid","car (new)",3527,"0 - 1 yrs","single male",3,45,"own",1
10,"repaid","car (new)",1546,"1 - 4 yrs","single male",2,31,"own",1
24,"repaid","furniture",929,"4 - 7 yrs","single male",2,31,"own",1
4,"critical","car (new)",1455,"4 - 7 yrs","single male",1,42,"own",3
15,"repaid","furniture",1845,"0 - 1 yrs","female",1,46,"rent",1
48,"fully repaid","car (new)",8358,"0 - 1 yrs","female",1,30,"own",2
24,"fully repaid","furniture",3349,"0 - 1 yrs","single male",4,30,"for free",1
12,"repaid","car (new)",2859,"unemployed","single male",4,38,"own",1
18,"repaid","furniture",1533,"0 - 1 yrs","married male",1,43,"own",1
24,"repaid","radio/tv",3621,"> 7 yrs","single male",4,31,"own",2
18,"critical","business",3590,"unemployed","married male",3,40,"own",3
36,"delayed","business",2145,"4 - 7 yrs","single male",1,24,"own",2
24,"repaid","car (used)",4113,"0 - 1 yrs","female",4,28,"rent",1
36,"repaid","furniture",10974,"unemployed","female",2,26,"own",2
12,"repaid","car (new)",1893,"1 - 4 yrs","female",4,29,"own",1
24,"critical","radio/tv",1231,"> 7 yrs","female",4,57,"rent",2
30,"critical","radio/tv",3656,"> 7 yrs","single male",4,49,"own",2
9,"critical","radio/tv",1154,"> 7 yrs","single male",4,37,"own",3
28,"repaid","car (new)",4006,"1 - 4 yrs","single male",2,45,"own",1
24,"repaid","furniture",3069,"> 7 yrs","single male",4,30,"for free",1
6,"critical","radio/tv",1740,"> 7 yrs","married male",2,30,"rent",2
21,"delayed","car (new)",2353,"1 - 4 yrs","divorced male",4,47,"own",2
15,"repaid","car (new)",3556,"1 - 4 yrs","single male",2,29,"own",1
24,"repaid","radio/tv",2397,"> 7 yrs","single male",2,35,"own",2
6,"repaid","repairs",454,"0 - 1 yrs","married male",1,22,"own",1
30,"repaid","radio/tv",1715,"1 - 4 yrs","female",1,26,"own",1
27,"critical","radio/tv",2520,"1 - 4 yrs","single male",2,23,"own",2
15,"repaid","radio/tv",3568,"> 7 yrs","female",2,54,"rent",1
42,"repaid","radio/tv",7166,"4 - 7 yrs","married male",4,29,"rent",1
11,"critical","car (new)",3939,"1 - 4 yrs","single male",2,40,"own",2
15,"repaid","repairs",1514,"1 - 4 yrs","single male",2,22,"own",1
24,"repaid","car (new)",7393,"1 - 4 yrs","single male",4,43,"own",1
24,"fully repaid","car (new)",1193,"unemployed","female",4,29,"rent",2
60,"repaid","business",7297,"> 7 yrs","single male",4,36,"rent",1
30,"critical","radio/tv",2831,"1 - 4 yrs","female",2,33,"own",1
24,"repaid","radio/tv",1258,"1 - 4 yrs","female",3,57,"own",1
6,"repaid","radio/tv",753,"1 - 4 yrs","female",3,64,"own",1
18,"delayed","business",2427,"> 7 yrs","single male",2,42,"own",2
24,"delayed","car (new)",2538,"> 7 yrs","single male",4,47,"own",2
15,"fully repaid","car (new)",1264,"1 - 4 yrs","married male",2,25,"rent",1
30,"critical","furniture",8386,"4 - 7 yrs","single male",2,49,"own",1
48,"repaid","business",4844,"unemployed","single male",2,33,"rent",1
21,"repaid","car (new)",2923,"1 - 4 yrs","female",1,28,"own",1
36,"repaid","car (used)",8229,"1 - 4 yrs","single male",2,26,"own",1
24,"critical","furniture",2028,"4 - 7 yrs","single male",2,30,"own",2
15,"critical","furniture",1433,"1 - 4 yrs","female",3,25,"rent",2
42,"fully repaid","business",6289,"0 - 1 yrs","divorced male",1,33,"own",2
13,"repaid","radio/tv",1409,"unemployed","female",4,64,"own",1
24,"repaid","car (used)",6579,"unemployed","single male",2,29,"for free",1
24,"critical","radio/tv",1743,"> 7 yrs","single male",2,48,"own",2
12,"critical","education",3565,"0 - 1 yrs","single male",1,37,"own",2
15,"fully repaid","radio/tv",1569,"> 7 yrs","single male",4,34,"own",1
18,"repaid","radio/tv",1936,"4 - 7 yrs","married male",4,23,"rent",2
36,"repaid","furniture",3959,"unemployed","single male",3,30,"own",1
12,"repaid","car (new)",2390,"> 7 yrs","single male",3,50,"own",1
12,"repaid","furniture",1736,"4 - 7 yrs","female",4,31,"own",1
30,"repaid","car (used)",3857,"1 - 4 yrs","divorced male",4,40,"own",1
12,"repaid","radio/tv",804,"> 7 yrs","single male",4,38,"own",1
45,"repaid","radio/tv",1845,"1 - 4 yrs","single male",4,23,"for free",1
45,"critical","car (used)",4576,"unemployed","single male",4,27,"own",1
